"id","nome_estacao_original"
500,"BAIRRO DE FÁTIMA"
178,"BARRETO"
501,"BARRETO 1"
502,"BOA VISTA"
503,"BONFIM 2"
504,"CARAMUJO"
505,"CAVALÃO"
186,"CHARITAS"
506,"CORONEL LEÔNCIO"
507,"ENGENHO DO MATO"
189,"FONSECA"
508,"IGREJINHA"
182,"ITAIPU"
509,"ITAIPÚ"
181,"JURUJUBA"
510,"JURUJUBA"
184,"JURUJUBA"
176,"LARGO DA BATALHA"
511,"MACEIÓ"
512,"MARAVISTA"
180,"MARIA PAULA"
513,"MARIA PAULA"
514,"MORRO DA PENHA"
515,"MORRO DO BUMBA"
177,"MORRO DO CASTRO"
516,"MORRO DO CASTRO"
517,"MORRO DO ESTADO"
518,"MORRO DO PALÁCIO"
519,"PÉ PEQUENO"
520,"PIRATININGA"
185,"PIRATININGA"
187,"PIRATININGA 1"
521,"PIRATININGA 2"
188,"PIRATININGA2"
175,"PRAIA JOÃO CAETANO"
522,"PREVENTÓRIO"
523,"RIO DO OURO"
179,"SANTA BARBARA"
524,"SANTA BÁRBARA 2"
525,"SÃO FRANCISCO 1"
526,"SAPÊ"
527,"TENENTE JARDIM"
528,"TRAVESSA BELTRÃO"
529,"VÁRZEA DAS MOÇAS"
183,"VARZEA DAS MOSCAS"
174,"VISCONDE DE ITABORAÍ"
